CODE;CHAPITRE;SOUS-CHAPITRE;COEFFICIENT B;DATE CREATION;LIBELLE;ENTENTE PREALABLE;REMBOURSEMENT 100%;NBR MAXI DE CODE;N° REGLE SPECIFIQUE;REF INDICATION MEDICALE;ACTES RESERVES;INITIATIVE BIOLOGISTE;CONTINGENCE TECHNIQUE;R.M.O.;EXAMEN SANGUIN;DERNIERE DATE EFFET;CODES INCOMPATIBLES
4084;0;0;500;22/10/2010;DETERMINATION PRENATALE DU SEXE FOETAL SANG MATERNEL;;1;1;;1;1;;3;;1;15/03/2011
9905;0;0;5;14/02/1997;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 5 (SANG);;;;;;;1;;;1;19/01/2010
9910;0;0;10;14/02/1997;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 10 (SANG);;;;;;;1;;;1;19/01/2010
9914;0;0;14;17/03/2017;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 14 (SANG);;;1;;;;1;;;1;01/04/2017
9915;0;0;15;14/02/1997;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 15 (SANG);;;;;;;1;;;1;19/01/2010
9916;0;0;1;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 1 (SANG);;;;;;;1;;;1;19/01/2010
9917;0;0;2;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 2 (SANG);;;;;;;1;;;1;19/01/2010
9918;0;0;3;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 3 (SANG);;;;;;;1;;;1;19/01/2010
9919;0;0;4;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 4 (SANG);;;;;;;1;;;1;19/01/2010
9920;0;0;6;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 6 (SANG);;;;;;;1;;;1;19/01/2010
9921;0;0;7;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 7 (SANG);;;;;;;1;;;1;19/01/2010
9922;0;0;8;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 8 (SANG);;;;;;;1;;;1;19/01/2010
9923;0;0;9;23/12/2009;COMPLEMENT A LA COTATION MINIMALE DE VALEUR B 9 (SANG);;;;;;;1;;;1;19/01/2010
